,Approved Amount,Institution,Location Tag,postalcode,canton
123,22000.0,Département de l'instruction publique Service de la recherche en éducation Bibliothèque,,4053,BS
124,3000.0,Département des constructions et des technologies de l'information (DCTI),,None,None
125,505259.0,Département des travaux publics du Canton de Vaud,,4051,BS
126,5028.0,Dépt de langue & littérature allemandes Faculté des lettres Université de Genève,,4058,BS
127,11910.0,EDA,,8090,ZH
128,4626283.0,Ecole Suisse d'archéologie en Grèce  Univ. de Lausanne,,3005,BE
129,88062.0,Ecole supérieur de commerce de la ville de Sion,,6005,LU
130,446717.0,Ecole supérieure d'enseignement infirmier,,"8057 Z?rich, Switzerland",None
131,100000.0,Ecole supérieure de Commerce,,3003,BE
132,153837.0,Econat,,None,None
133,246499.0,Eidg. Büro für die Gleichstellung von Frau und Mann,,"6, Place de la Riponne, CP, 1014 Lausanne, Switzerland",None
134,330094.0,"Eidg. Departement für Verteidigung, Bevölkerungsschutz und Sport",,"2900 Porrentruy, Switzerland",None
135,79666.0,Eidg. Departement für auswärtige Angelegenheiten,,"6, Place de la Riponne, CP, 1014 Lausanne, Switzerland",None
136,80325.0,Eidgenössisches Vakzine-Institut s. Institut für Viruskrankheiten und Immun. Mittelhäusern,,1211,GE
137,421085.0,Erwerbungsabteilung Zentralbibliothek Luzern,,1211,GE
138,138096.0,Erziehungsdepartement Obwalden,,"8090, Walchepl. 2, 8001 Z?rich, Switzerland",None
139,40000.0,Erziehungsdirektion des Kantons Appenzell A.Rh.,,None,None
140,202873.0,"Etat de Vaud - Service Immeubles, Patrimoine et Logistique Section Patrimoine",,None,None
141,1639825.0,Eulerkommission der SANW,,None,None
142,99663.0,Europäischer Gerichtshof für Menschenrechte,,3005,BE
143,81320.0,Evangelische Arbeitsstelle Oekumene Schweiz,,3084,BE
144,3740.0,FORS c/o Université de Lausanne,,None,None
145,12200.0,Fachbereich Mathematik Departement Mathematik und Informatik Universität Basel,,"OperationCenter 1, Frachtstrasse, 8058 Z?rich, Switzerland",None
146,240253.0,Fachstelle Lebensräume für Menschen mit einer geistigen Behinderung,,3008,BE
147,268166.0,Fachstelle für Gleichstellung Frau und Mann des Kantons Zürich,,3063,BE
148,160672.0,"Faculté des sciences économiques et sociales, Décanat Université de Genève",,None,None
149,167946.0,Federaz. Ticinese per integrazione degli andicappati FTIA,,None,None
150,145864.0,Fondation Braillard Architectes,,None,None
151,10250.0,Fondation Guy de Pourtalès Université de Lausanne,,None,None
152,820069.0,Fondation Hardt pour l'étude de l'Antiquité classique,,None,None
153,15300.0,Fondation Jean Monnet pour l'Europe Centre de recherches européennes,,1003,VD
154,4000.0,Fondation Martin Bodmer,,3000,BE
155,4412326.0,Fondation pour le LIMC,,3000,BE
156,242359.0,Fonoteca Nazionale Svizzera,,7000,GR
157,427566.0,Forschungsgruppe für Management im Gesundheitswesen an der Fachhoch- schule für Wirtschaft St. Gallen,,None,None
158,600579.0,Forschungsinstitut zur Geschichte des Alpenraums,,None,None
159,99934.0,Forschungskomitee Rechtssoziologie und Rechtswirklichkeitsforschung der Schweizer Gesellschaft für Soziologie,,None,None
160,480000.0,Forschungsstelle Solothurnisches Orts- und Flurnamenbuch,,None,None
