,Approved Amount,Institution,Location Tag,postalcode,canton
116,326864,Direction de l'instruction publique et des affaires culturelles,,3018,BE
117,205575,Direction des Musées cantonaux du Valais,,None,None
118,335000,Division d'Immunologie Moléculaire Institut Ludwig de Recherche sur le Cancer,,None,None
119,20380,Divisione della Cultura Dipartimento dell'istruzione e della cultura del Cantone Ticino,,None,None
120,105209,Dokuzentrum Gesundheitswesen,,None,None
121,343853,Département de Biologie Cellulaire Faculté des Sciences Université de Genève,,1202,GE
122,1240000,Département de Biologie Moléculaire Faculté des Sciences Université de Genève,,4053,BS
123,22000,Département de l'instruction publique Service de la recherche en éducation Bibliothèque,,None,None
124,3000,Département des constructions et des technologies de l'information (DCTI),,4051,BS
125,505259,Département des travaux publics du Canton de Vaud,,4058,BS
126,5028,Dépt de langue & littérature allemandes Faculté des lettres Université de Genève,,8090,ZH
127,11910,EDA,,3005,BE
128,4626283,Ecole Suisse d'archéologie en Grèce  Univ. de Lausanne,,6005,LU
129,88062,Ecole supérieur de commerce de la ville de Sion,,"8057 Zürich, Switzerland",None
130,446717,Ecole supérieure d'enseignement infirmier,,3003,BE
131,100000,Ecole supérieure de Commerce,,None,None
132,153837,Econat,,"6, Place de la Riponne, CP, 1014 Lausanne, Switzerland",None
133,246499,Eidg. Büro für die Gleichstellung von Frau und Mann,,"2900 Porrentruy, Switzerland",None
134,330094,"Eidg. Departement für Verteidigung, Bevölkerungsschutz und Sport",,"6, Place de la Riponne, CP, 1014 Lausanne, Switzerland",None
135,79666,Eidg. Departement für auswärtige Angelegenheiten,,1211,GE
136,80325,Eidgenössisches Vakzine-Institut s. Institut für Viruskrankheiten und Immun. Mittelhäusern,,1211,GE
137,421085,Erwerbungsabteilung Zentralbibliothek Luzern,,"8090, Walchepl. 2, 8001 Zürich, Switzerland",None
138,138096,Erziehungsdepartement Obwalden,,None,None
139,40000,Erziehungsdirektion des Kantons Appenzell A.Rh.,,None,None
140,202873,"Etat de Vaud - Service Immeubles, Patrimoine et Logistique Section Patrimoine",,None,None
141,1639825,Eulerkommission der SANW,,3005,BE
142,99663,Europäischer Gerichtshof für Menschenrechte,,3084,BE
143,81320,Evangelische Arbeitsstelle Oekumene Schweiz,,None,None
144,3740,FORS c/o Université de Lausanne,,"OperationCenter 1, Frachtstrasse, 8058 Zürich, Switzerland",None
145,12200,Fachbereich Mathematik Departement Mathematik und Informatik Universität Basel,,3008,BE
146,240253,Fachstelle Lebensräume für Menschen mit einer geistigen Behinderung,,3063,BE
147,268166,Fachstelle für Gleichstellung Frau und Mann des Kantons Zürich,,None,None
148,160672,"Faculté des sciences économiques et sociales, Décanat Université de Genève",,None,None
149,167946,Federaz. Ticinese per integrazione degli andicappati FTIA,,None,None
150,145864,Fondation Braillard Architectes,,None,None
151,10250,Fondation Guy de Pourtalès Université de Lausanne,,None,None
152,820069,Fondation Hardt pour l'étude de l'Antiquité classique,,1003,VD
153,15300,Fondation Jean Monnet pour l'Europe Centre de recherches européennes,,3000,BE
154,4000,Fondation Martin Bodmer,,3000,BE
155,4412326,Fondation pour le LIMC,,7000,GR
156,242359,Fonoteca Nazionale Svizzera,,None,None
157,427566,Forschungsgruppe für Management im Gesundheitswesen an der Fachhoch- schule für Wirtschaft St. Gallen,,None,None
158,600579,Forschungsinstitut zur Geschichte des Alpenraums,,None,None
159,99934,Forschungskomitee Rechtssoziologie und Rechtswirklichkeitsforschung der Schweizer Gesellschaft für Soziologie,,None,None
160,480000,Forschungsstelle Solothurnisches Orts- und Flurnamenbuch,,None,None
161,1350000,Forschungsstelle für Orts- und Flurnamen,,None,None
